index,part_code,x_mm,y_mm,z_mm,heading_degrees,length_mm,width_mm,height_mm,geometry_source,source_3mf
1,C8205,0.0,0.0,0,0.0,350.0,156.0,6.0,3MF,c8205.3mf
2,C8205,350.0,0.0,0,0.0,350.0,156.0,6.0,3MF,c8205.3mf
3,C8205,700.0,0.0,0,0.0,350.0,156.0,6.0,3MF,c8205.3mf
4,C8205,1050.0,0.0,0,0.0,350.0,156.0,6.0,3MF,c8205.3mf
5,C8205,1400.0,0.0,0,0.0,350.0,156.0,6.0,3MF,c8205.3mf
6,C8205,1750.0,0.0,0,0.0,350.0,156.0,6.0,3MF,c8205.3mf
7,C8205,2100.0,0.0,0,0.0,350.0,156.0,6.0,3MF,c8205.3mf
8,C8205,2450.0,0.0,0,0.0,350.0,156.0,6.0,3MF,c8205.3mf
9,C8205,2800.0,0.0,0,0.0,350.0,156.0,6.0,3MF,c8205.3mf
10,C153,3150.0,0.0,0,0.0,201.292,184.164,9.0,3MF,c153l.3mf
11,C153,3188.516,7.661,0,22.5,201.292,184.164,9.0,3MF,c153l.3mf
12,C153,3221.167,29.479,0,45.0,201.292,184.164,9.0,3MF,c153l.3mf
13,C153,3242.985,62.13,0,67.5,201.292,184.164,9.0,3MF,c153l.3mf
14,C8205,3250.646,100.646,0,90.0,350.0,156.0,6.0,3MF,c8205.3mf
15,C8205,3250.646,450.646,0,90.0,350.0,156.0,6.0,3MF,c8205.3mf
16,C8205,3250.646,800.646,0,90.0,350.0,156.0,6.0,3MF,c8205.3mf
17,C8205,3250.646,1150.646,0,90.0,350.0,156.0,6.0,3MF,c8205.3mf
18,C8205,3250.646,1500.646,0,90.0,350.0,156.0,6.0,3MF,c8205.3mf
19,C8205,3250.646,1850.646,0,90.0,350.0,156.0,6.0,3MF,c8205.3mf
20,C8205,3250.646,2200.646,0,90.0,350.0,156.0,6.0,3MF,c8205.3mf
21,C8205,3250.646,2550.646,0,90.0,350.0,156.0,6.0,3MF,c8205.3mf
22,C8205,3250.646,2900.646,0,90.0,350.0,156.0,6.0,3MF,c8205.3mf
23,C153,3250.646,3250.646,0,90.0,201.292,184.164,9.0,3MF,c153l.3mf
24,C153,3242.985,3289.162,0,112.5,201.292,184.164,9.0,3MF,c153l.3mf
25,C153,3221.167,3321.813,0,135.0,201.292,184.164,9.0,3MF,c153l.3mf
26,C153,3188.516,3343.631,0,157.5,201.292,184.164,9.0,3MF,c153l.3mf
27,C8205,3150.0,3351.292,0,180.0,350.0,156.0,6.0,3MF,c8205.3mf
28,C8205,2800.0,3351.292,0,180.0,350.0,156.0,6.0,3MF,c8205.3mf
29,C8205,2450.0,3351.292,0,180.0,350.0,156.0,6.0,3MF,c8205.3mf
30,C8205,2100.0,3351.292,0,180.0,350.0,156.0,6.0,3MF,c8205.3mf
31,C8205,1750.0,3351.292,0,180.0,350.0,156.0,6.0,3MF,c8205.3mf
32,C8205,1400.0,3351.292,0,180.0,350.0,156.0,6.0,3MF,c8205.3mf
33,C8205,1050.0,3351.292,0,180.0,350.0,156.0,6.0,3MF,c8205.3mf
34,C8205,700.0,3351.292,0,180.0,350.0,156.0,6.0,3MF,c8205.3mf
35,C8205,350.0,3351.292,0,180.0,350.0,156.0,6.0,3MF,c8205.3mf
36,C153,0.0,3351.292,0,180.0,201.292,184.164,9.0,3MF,c153l.3mf
37,C153,-38.516,3343.631,0,202.5,201.292,184.164,9.0,3MF,c153l.3mf
38,C153,-71.167,3321.813,0,225.0,201.292,184.164,9.0,3MF,c153l.3mf
39,C153,-92.985,3289.162,0,247.5,201.292,184.164,9.0,3MF,c153l.3mf
40,C8205,-100.646,3250.646,0,270.0,350.0,156.0,6.0,3MF,c8205.3mf
41,C8205,-100.646,2900.646,0,270.0,350.0,156.0,6.0,3MF,c8205.3mf
42,C8205,-100.646,2550.646,0,270.0,350.0,156.0,6.0,3MF,c8205.3mf
43,C8205,-100.646,2200.646,0,270.0,350.0,156.0,6.0,3MF,c8205.3mf
44,C8205,-100.646,1850.646,0,270.0,350.0,156.0,6.0,3MF,c8205.3mf
45,C8205,-100.646,1500.646,0,270.0,350.0,156.0,6.0,3MF,c8205.3mf
46,C8205,-100.646,1150.646,0,270.0,350.0,156.0,6.0,3MF,c8205.3mf
47,C8205,-100.646,800.646,0,270.0,350.0,156.0,6.0,3MF,c8205.3mf
48,C8205,-100.646,450.646,0,270.0,350.0,156.0,6.0,3MF,c8205.3mf
49,C153,-100.646,100.646,0,270.0,201.292,184.164,9.0,3MF,c153l.3mf
50,C153,-92.985,62.13,0,292.5,201.292,184.164,9.0,3MF,c153l.3mf
51,C153,-71.167,29.479,0,315.0,201.292,184.164,9.0,3MF,c153l.3mf
52,C153,-38.516,7.661,0,337.5,201.292,184.164,9.0,3MF,c153l.3mf
