index,part_code,x_mm,y_mm,z_mm,heading_degrees,connector_length_mm,length_mm,width_mm,height_mm,turn_degrees,geometry_source,source_3mf
1,C8205,0.0,0.0,0,0.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
2,C8205,350.0,0.0,0,0.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
3,C8205,700.0,0.0,0,0.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
4,C8205,1050.0,0.0,0,0.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
5,C8205,1400.0,0.0,0,0.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
6,C8205,1750.0,0.0,0,0.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
7,C8205,2100.0,0.0,0,0.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
8,C8205,2450.0,0.0,0,0.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
9,C8205,2800.0,0.0,0,0.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
10,C187,3150.0,0.0,0,0.0,402.584,402.584,184.164,9.0,45.0,C153+C153 composite,composite:C153+C153
11,C153,3514.792,151.102,0,45.0,201.292,201.292,184.164,9.0,22.5,3MF,c153l.3mf
12,C153,3626.624,318.47,0,67.5,201.292,201.292,184.164,9.0,22.5,3MF,c153l.3mf
13,C8205,3665.894,515.894,0,90.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
14,C8205,3665.894,865.894,0,90.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
15,C8205,3665.894,1215.894,0,90.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
16,C8205,3665.894,1565.894,0,90.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
17,C8205,3665.894,1915.894,0,90.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
18,C8205,3665.894,2265.894,0,90.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
19,C8205,3665.894,2615.894,0,90.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
20,C8205,3665.894,2965.894,0,90.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
21,C8205,3665.894,3315.894,0,90.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
22,C187,3665.894,3665.894,0,90.0,402.584,402.584,184.164,9.0,45.0,C153+C153 composite,composite:C153+C153
23,C153,3514.792,4030.687,0,135.0,201.292,201.292,184.164,9.0,22.5,3MF,c153l.3mf
24,C153,3347.424,4142.519,0,157.5,201.292,201.292,184.164,9.0,22.5,3MF,c153l.3mf
25,C8205,3150.0,4181.789,0,180.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
26,C8205,2800.0,4181.789,0,180.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
27,C8205,2450.0,4181.789,0,180.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
28,C8205,2100.0,4181.789,0,180.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
29,C8205,1750.0,4181.789,0,180.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
30,C8205,1400.0,4181.789,0,180.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
31,C8205,1050.0,4181.789,0,180.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
32,C8205,700.0,4181.789,0,180.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
33,C8205,350.0,4181.789,0,180.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
34,C187,0.0,4181.789,0,180.0,402.584,402.584,184.164,9.0,45.0,C153+C153 composite,composite:C153+C153
35,C153,-364.792,4030.687,0,225.0,201.292,201.292,184.164,9.0,22.5,3MF,c153l.3mf
36,C153,-476.624,3863.319,0,247.5,201.292,201.292,184.164,9.0,22.5,3MF,c153l.3mf
37,C8205,-515.894,3665.894,0,270.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
38,C8205,-515.894,3315.894,0,270.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
39,C8205,-515.894,2965.894,0,270.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
40,C8205,-515.894,2615.894,0,270.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
41,C8205,-515.894,2265.894,0,270.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
42,C8205,-515.894,1915.894,0,270.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
43,C8205,-515.894,1565.894,0,270.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
44,C8205,-515.894,1215.894,0,270.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
45,C8205,-515.894,865.894,0,270.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
46,C187,-515.894,515.894,0,270.0,402.584,402.584,184.164,9.0,45.0,C153+C153 composite,composite:C153+C153
47,C153,-364.792,151.102,0,315.0,201.292,201.292,184.164,9.0,22.5,3MF,c153l.3mf
48,C153,-197.424,39.27,0,337.5,201.292,201.292,184.164,9.0,22.5,3MF,c153l.3mf
